Region,State,Organization,Stakeholder Type
North-West,Kano,Network for Empowerment and Development Initiative (NEDIN),Social Justice
North-West,Kano,KAF Care Foundation,Social Justice
North-West,Kano,Inter Faith Peace Foundation,Social Justice
North-West,Kano,African Centre for Innovative Research and Development (AFRI-CIRD),Extractive Governance
North-West,Kano,Wwodi/GCAJ,Social Justice
North-West,Kano,Campaign for Democracy,Social Justice
North-West,Kano,Women Advancement Initiative (WAI),Social Justice
North-West,Kano,Centre for Awareness on Justice and Accountability,Extractive Governance
North-West,Kano,Centre for Research and Democratic Studies,Extractive Governance
North-West,Kano,Women in Media,Host Community
North-West,Kano,TDII,Social Justice
North-West,Kano,Nigerian Union of Journalists,Host Community
North-West,Kano,Kano Civil Society Forum,Social Justice
North-West,Kano,Voice Against Corruption in Nigeria,Extractive Governance
North-West,Kano,Radio Kano FM,Host Community
North-West,Kano,JONAPWD,Social Justice
North-West,Kano,Budget Tracking Group,Budget Transparency
North-West,Kano,Time Base TV,Host Community
North-West,Kano,CEFSAN,Social Justice
North-West,Kano,NBA,Social Justice
North-West,Kano,VOHEDI,Social Justice
North-West,Kano,FIDA,Social Justice
North-West,Kano,Democratic Action Group,Social Justice
North-West,Kano,SOPHIESSAM Foundation,Social Justice
North-West,Kano,Wazobia International foundation,Social Justice
North-West,Kano,UAD,Social Justice
North-West,Kano,CISLAC,Extractive Governance
North-West,Kano,KAYCAD,Social Justice
North-West,Kaduna,"LEADS-Nigeria, Kaduna",Extractive Governance
North-West,Kaduna,Youth Against Corruption,Extractive Governance
North-West,Kaduna,"Citizens Rights Initiative, Kaduna",Social Justice
North-West,Kaduna,Gender Awareness Trust,Social Justice
North-West,Kaduna,Youth Initiative for development,Social Justice
North-West,Kaduna,Campaign for Democracy,Social Justice
North-West,Kaduna,Vision Trust Foundation,Social Justice
North-West,Kaduna,YAC,Extractive Governance
North-West,Kaduna,Bridge that Gap Hope for Africa,Social Justice
North-West,Kaduna,Follow Taxes,Budget Transparency
North-West,Kaduna,Six Measures Foundation,Social Justice
North-West,Kaduna,Connecting Voices Initiative,Social Justice
North-West,Katsina,Community Initiative For Advocacy,Social Justice
North-West,Katsina,Murna Foundation,Social Justice
North-West,Katsina,KTTV,Host Community
North-West,Katsina,Progress and Development Initiative,Social Justice
North-West,Katsina,Coalition of CSOs in Katsina state,Extractive Governance
North-West,Katsina,Daurawa Development Group,Host Community
North-West,Katsina,Katsina State Budget Awareness Initiative,Budget Transparency
North-West,Katsina,Gender and Social Inclusion,Social Justice
North-West,Katsina,Sustainable Development Initiative,Extractive Governance
North-West,Katsina,Daily Trust,Host Community
North-West,Katsina,PADEAP,Social Justice
North-West,Katsina,Katsina state Radio,Host Community
North-West,Jigawa,Health Dev. Foundation,Social Justice
North-West,Jigawa,Project Monitoring Partners,Extractive Governance
North-West,Jigawa,Organization for Social Justice and Community Development,Social Justice
North-West,Jigawa,NTA,Host Community
North-West,Zamfara,NAWOJ,Host Community
North-West,Zamfara,M.A.N Zamfara,Social Justice
North-West,Zamfara,CENCEX,Social Justice
North-West,Zamfara,Zamfara State Coalition of NGOs,Extractive Governance
North-West,Sokoto,HCOMDI,Social Justice
North-West,Sokoto,JONAPWD,Social Justice
North-West,Sokoto,Centre for Social Advocacy,Social Justice
North-West,Sokoto,Community Centre for Development,Social Justice
North-West,Kebbi,DSI Birnin Kebbi,Social Justice
North-West,Kebbi,M.A.N Kebbi,Social Justice
North-West,Kebbi,Nagarta Community Health and Gender Education Initiative,Social Justice
North-West,Kebbi,Child Right Brigade,Social Justice
