Category,Name,City,State,Zone
"Associations","Geological Society of Africa (GSAf)","","Unknown","Unknown"
"Associations","African Union African Minerals Development Centre (AMDC)","","Unknown","Unknown"




"Donors","Agence Française de Développement (AFD)","Abuja","FCT","North Central"
"Donors","ECOWAS Commission","Abuja","FCT","North Central"
"Donors","Embassy of the Kingdom of the Netherlands","Abuja","FCT","North Central"
"Donors","European Union (EU Delegation to Nigeria)","Abuja","FCT","North Central"
"Donors","FCDO – UK Foreign; Commonwealth & Development Office","Abuja","FCT","North Central"
"Donors","GIZ – Deutsche Gesellschaft für Internationale Zusammenarbeit","Abuja","FCT","North Central"
"Donors","Global Affairs Canada","Abuja","FCT","North Central"
"Donors","Japan International Cooperation Agency (JICA)","Abuja","FCT","North Central"
"Donors","MacArthur Foundation Nigeria","Abuja","FCT","North Central"
"Donors","USAID – United States Agency for International Development","Abuja","FCT","North Central"
"Donors","United Nations Children’s Fund (UNICEF)","Abuja","FCT","North Central"
"Donors","United Nations Development Programme (UNDP)","Abuja","FCT","North Central"
"Donors","World Bank","Abuja","FCT","North Central"
"Donors","African Development Bank (AfDB)","","Unknown","Unknown"
"Donors","Bill & Melinda Gates Foundation","","Unknown","Unknown"
"Donors","Ford Foundation – West Africa Office","Lagos","Lagos","South West"
"Donors","International Labour Organization (ILO)","","Unknown","Unknown"
"Donors","Open Society Foundations (OSF)","","Unknown","Unknown"
"Donors","Rockefeller Foundation","","Unknown","Unknown"
"Donors","United Nations Industrial Development Organization (UNIDO)","","Unknown","Unknown"
"Donors","Bloomberg Philanthropies","","Unknown","Unknown"



"Infrastructure","Hebei Jinchangsheng Chemical Technology Co.","Unknown","Unknown","Unknown"
"Infrastructure","Henan Hongxing Mining Machinery Co.","Unknown","Unknown","Unknown"
"Infrastructure","Liaoning Vasoar Co.; Ltd","Unknown","Unknown","Unknown"
"Infrastructure","Paranthaman Exporters (PMT Machines)","Unknown","Unknown","Unknown"
"Infrastructure","Shandong Xinhai Mining Technology & Equipment Inc.","","Unknown","Unknown"
"Infrastructure","Boart Longyear","","Unknown","Unknown"
"Infrastructure","Bristol Scientific Nigeria Ltd","Lagos","Lagos","South West"
"Infrastructure","Julius Berger Mining Division","Abuja","FCT","North Central"
"Infrastructure","Rapidlink Resources Limited","Abuja","FCT","North Central"
"Infrastructure","Sandvik Mining & Rock Solutions","","Unknown","Unknown"
"Infrastructure","Xugong Nigeria Company Limited (XCMG Nigeria)","Lagos","Lagos","South West"




"Mining Companies","Echelon Mining & Energy Ltd","Abuja","FCT","North Central"
"Mining Companies","Global Exploration & Mining Services","Abuja","FCT","North Central"
"Mining Companies","Japaul Gold & Ventures plc","Abuja","FCT","North Central"
"Mining Companies","PW Nigeria Ltd (PW Mining International)","Abuja","FCT","North Central"
"Mining Companies","Red Mining Company Ltd","Abuja","FCT","North Central"
"Mining Companies","Resource House Ltd","Abuja","FCT","North Central"
"Mining Companies","SBOG Nigeria Ltd","Abuja","FCT","North Central"
"Mining Companies","Dangote Mining Division","Unknown","Unknown","Unknown"
"Mining Consultancies","Tectonics Engineering Group","","Unknown","Unknown"


"NGOs","Environmental Rights Initiative of Nigeria (ERIN)","","Unknown","Unknown"
"NGOs","Global Witness","","Unknown","Unknown"
"NGOs","International Alert","","Unknown","Unknown"
"NGOs","Natural Resource Governance Institute (NRGI)","","Unknown","Unknown"
"NGOs","PACT","","Unknown","Unknown"
"NGOs","Search for Common Ground (SFCG)","","FCT","North Central"
"NGOs","Solidaridad West Africa","","Unknown","Unknown"
"NGOs","Host Communities Network of Nigeria (HoCoN)","Unknown","Unknown","Unknown"

